ACC,NPV,PPV,SEN,SPC,config,cost_matrix,error
0.875,1.0,0.8,1.0,0.75,"{""binary"": true, ""x_features"": [""Color"", ""Ca125"", ""APapDimension"", ""AgeAfterMenopause"", ""PapBloodFlow""], ""denoising_cost_x"": [0.0001, 0.001, 0.001, 1], ""f_local_noise_std"": 0.1, ""super_noise_std"": 0.2, ""batch_size"": 50, ""act"": ""relu"", ""lrate_decay"": 0.67, ""seed"": 1, ""lr"": 0.002, ""num_epochs"": 300, ""zestbn"": ""bugfix"", ""encoder_layers"": [5, 4, 3, 2], ""top_c"": true, ""decoder_spec"": ""gauss""}",5.0,
0.9375,1.0,0.888888888889,1.0,0.875,"{""binary"": true, ""x_features"": [""Color"", ""Ca125"", ""APapDimension"", ""AgeAfterMenopause"", ""PapBloodFlow""], ""denoising_cost_x"": [0.0001, 0.001, 0.001, 1], ""f_local_noise_std"": 0.1, ""super_noise_std"": 0.2, ""batch_size"": 50, ""act"": ""relu"", ""lrate_decay"": 0.67, ""seed"": 1, ""lr"": 0.002, ""num_epochs"": 300, ""zestbn"": ""bugfix"", ""encoder_layers"": [5, 4, 3, 2], ""top_c"": true, ""decoder_spec"": ""gauss""}",2.5,
0.8125,0.777777777778,0.857142857143,0.75,0.875,"{""binary"": true, ""x_features"": [""Color"", ""Ca125"", ""APapDimension"", ""AgeAfterMenopause"", ""PapBloodFlow""], ""denoising_cost_x"": [0.0001, 0.001, 0.001, 1], ""f_local_noise_std"": 0.1, ""super_noise_std"": 0.2, ""batch_size"": 50, ""act"": ""relu"", ""lrate_decay"": 0.67, ""seed"": 1, ""lr"": 0.002, ""num_epochs"": 300, ""zestbn"": ""bugfix"", ""encoder_layers"": [5, 4, 3, 2], ""top_c"": true, ""decoder_spec"": ""gauss""}",12.5,
1.0,1.0,1.0,1.0,1.0,"{""binary"": true, ""x_features"": [""Color"", ""Ca125"", ""APapDimension"", ""AgeAfterMenopause"", ""PapBloodFlow""], ""denoising_cost_x"": [0.0001, 0.001, 0.001, 1], ""f_local_noise_std"": 0.1, ""super_noise_std"": 0.2, ""batch_size"": 50, ""act"": ""relu"", ""lrate_decay"": 0.67, ""seed"": 1, ""lr"": 0.002, ""num_epochs"": 300, ""zestbn"": ""bugfix"", ""encoder_layers"": [5, 4, 3, 2], ""top_c"": true, ""decoder_spec"": ""gauss""}",0.0,
0.888888888889,0.818181818182,1.0,0.777777777778,1.0,"{""binary"": true, ""x_features"": [""Color"", ""Ca125"", ""APapDimension"", ""AgeAfterMenopause"", ""PapBloodFlow""], ""denoising_cost_x"": [0.0001, 0.001, 0.001, 1], ""f_local_noise_std"": 0.1, ""super_noise_std"": 0.1, ""batch_size"": 50, ""act"": ""relu"", ""lrate_decay"": 0.67, ""seed"": 1, ""lr"": 0.002, ""num_epochs"": 200, ""zestbn"": ""bugfix"", ""encoder_layers"": [5, 4, 3, 2], ""top_c"": true, ""decoder_spec"": ""gauss""}",10.0,
1.0,1.0,1.0,1.0,1.0,"{""binary"": true, ""x_features"": [""Color"", ""Ca125"", ""APapDimension"", ""AgeAfterMenopause"", ""PapBloodFlow""], ""denoising_cost_x"": [0.0001, 0.001, 0.001, 1], ""f_local_noise_std"": 0.1, ""super_noise_std"": 0.1, ""batch_size"": 50, ""act"": ""relu"", ""lrate_decay"": 0.67, ""seed"": 1, ""lr"": 0.002, ""num_epochs"": 200, ""zestbn"": ""bugfix"", ""encoder_layers"": [5, 4, 3, 2], ""top_c"": true, ""decoder_spec"": ""gauss""}",0.0,
0.9375,0.888888888889,1.0,0.875,1.0,"{""binary"": true, ""x_features"": [""Color"", ""Ca125"", ""APapDimension"", ""AgeAfterMenopause"", ""PapBloodFlow""], ""denoising_cost_x"": [0.0001, 0.001, 0.001, 1], ""f_local_noise_std"": 0.1, ""super_noise_std"": 0.1, ""batch_size"": 50, ""act"": ""relu"", ""lrate_decay"": 0.67, ""seed"": 1, ""lr"": 0.002, ""num_epochs"": 200, ""zestbn"": ""bugfix"", ""encoder_layers"": [5, 4, 3, 2], ""top_c"": true, ""decoder_spec"": ""gauss""}",5.0,
1.0,1.0,1.0,1.0,1.0,"{""binary"": true, ""x_features"": [""Color"", ""Ca125"", ""APapDimension"", ""AgeAfterMenopause"", ""PapBloodFlow""], ""denoising_cost_x"": [0.0001, 0.001, 0.001, 1], ""f_local_noise_std"": 0.1, ""super_noise_std"": 0.1, ""batch_size"": 50, ""act"": ""relu"", ""lrate_decay"": 0.67, ""seed"": 1, ""lr"": 0.002, ""num_epochs"": 200, ""zestbn"": ""bugfix"", ""encoder_layers"": [5, 4, 3, 2], ""top_c"": true, ""decoder_spec"": ""gauss""}",0.0,
0.875,1.0,0.8,1.0,0.75,"{""binary"": true, ""x_features"": [""Color"", ""Ca125"", ""APapDimension"", ""AgeAfterMenopause"", ""PapBloodFlow""], ""denoising_cost_x"": [0.0001, 0.001, 0.001, 1], ""f_local_noise_std"": 0.1, ""super_noise_std"": 0.1, ""batch_size"": 50, ""act"": ""relu"", ""lrate_decay"": 0.67, ""seed"": 1, ""lr"": 0.002, ""num_epochs"": 200, ""zestbn"": ""bugfix"", ""encoder_layers"": [5, 4, 3, 2], ""top_c"": true, ""decoder_spec"": ""gauss""}",5.0,
0.75,0.75,0.75,0.75,0.75,"{""binary"": true, ""x_features"": [""Color"", ""Ca125"", ""APapDimension"", ""AgeAfterMenopause"", ""PapBloodFlow""], ""denoising_cost_x"": [0.0001, 0.001, 0.001, 1], ""f_local_noise_std"": 0.1, ""super_noise_std"": 0.1, ""batch_size"": 50, ""act"": ""relu"", ""lrate_decay"": 0.67, ""seed"": 1, ""lr"": 0.002, ""num_epochs"": 200, ""zestbn"": ""bugfix"", ""encoder_layers"": [5, 4, 3, 2], ""top_c"": true, ""decoder_spec"": ""gauss""}",15.0,
0.875,1.0,0.8,1.0,0.75,"{""binary"": true, ""x_features"": [""Color"", ""Ca125"", ""APapDimension"", ""AgeAfterMenopause"", ""PapBloodFlow""], ""denoising_cost_x"": [0.0001, 0.001, 0.001, 1], ""f_local_noise_std"": 0.1, ""super_noise_std"": 0.1, ""batch_size"": 50, ""act"": ""relu"", ""lrate_decay"": 0.67, ""seed"": 1, ""lr"": 0.002, ""num_epochs"": 200, ""zestbn"": ""bugfix"", ""encoder_layers"": [5, 4, 3, 2], ""top_c"": true, ""decoder_spec"": ""gauss""}",5.0,
0.9375,1.0,0.888888888889,1.0,0.875,"{""binary"": true, ""x_features"": [""Color"", ""Ca125"", ""APapDimension"", ""AgeAfterMenopause"", ""PapBloodFlow""], ""denoising_cost_x"": [0.0001, 0.001, 0.001, 1], ""f_local_noise_std"": 0.1, ""super_noise_std"": 0.1, ""batch_size"": 50, ""act"": ""relu"", ""lrate_decay"": 0.67, ""seed"": 1, ""lr"": 0.002, ""num_epochs"": 200, ""zestbn"": ""bugfix"", ""encoder_layers"": [5, 4, 3, 2], ""top_c"": true, ""decoder_spec"": ""gauss""}",2.5,
0.8125,0.777777777778,0.857142857143,0.75,0.875,"{""binary"": true, ""x_features"": [""Color"", ""Ca125"", ""APapDimension"", ""AgeAfterMenopause"", ""PapBloodFlow""], ""denoising_cost_x"": [0.0001, 0.001, 0.001, 1], ""f_local_noise_std"": 0.1, ""super_noise_std"": 0.1, ""batch_size"": 50, ""act"": ""relu"", ""lrate_decay"": 0.67, ""seed"": 1, ""lr"": 0.002, ""num_epochs"": 200, ""zestbn"": ""bugfix"", ""encoder_layers"": [5, 4, 3, 2], ""top_c"": true, ""decoder_spec"": ""gauss""}",12.5,
1.0,1.0,1.0,1.0,1.0,"{""binary"": true, ""x_features"": [""Color"", ""Ca125"", ""APapDimension"", ""AgeAfterMenopause"", ""PapBloodFlow""], ""denoising_cost_x"": [0.0001, 0.001, 0.001, 1], ""f_local_noise_std"": 0.1, ""super_noise_std"": 0.1, ""batch_size"": 50, ""act"": ""relu"", ""lrate_decay"": 0.67, ""seed"": 1, ""lr"": 0.002, ""num_epochs"": 200, ""zestbn"": ""bugfix"", ""encoder_layers"": [5, 4, 3, 2], ""top_c"": true, ""decoder_spec"": ""gauss""}",0.0,
0.888888888889,0.818181818182,1.0,0.777777777778,1.0,"{""binary"": true, ""x_features"": [""Color"", ""Ca125"", ""APapDimension"", ""AgeAfterMenopause"", ""PapBloodFlow""], ""denoising_cost_x"": [0.0001, 0.001, 0.001, 1], ""f_local_noise_std"": 0.1, ""super_noise_std"": 0.2, ""batch_size"": 50, ""act"": ""relu"", ""lrate_decay"": 0.67, ""seed"": 1, ""lr"": 0.002, ""num_epochs"": 200, ""zestbn"": ""bugfix"", ""encoder_layers"": [5, 4, 3, 2], ""top_c"": true, ""decoder_spec"": ""gauss""}",10.0,
1.0,1.0,1.0,1.0,1.0,"{""binary"": true, ""x_features"": [""Color"", ""Ca125"", ""APapDimension"", ""AgeAfterMenopause"", ""PapBloodFlow""], ""denoising_cost_x"": [0.0001, 0.001, 0.001, 1], ""f_local_noise_std"": 0.1, ""super_noise_std"": 0.2, ""batch_size"": 50, ""act"": ""relu"", ""lrate_decay"": 0.67, ""seed"": 1, ""lr"": 0.002, ""num_epochs"": 200, ""zestbn"": ""bugfix"", ""encoder_layers"": [5, 4, 3, 2], ""top_c"": true, ""decoder_spec"": ""gauss""}",0.0,
0.9375,0.888888888889,1.0,0.875,1.0,"{""binary"": true, ""x_features"": [""Color"", ""Ca125"", ""APapDimension"", ""AgeAfterMenopause"", ""PapBloodFlow""], ""denoising_cost_x"": [0.0001, 0.001, 0.001, 1], ""f_local_noise_std"": 0.1, ""super_noise_std"": 0.2, ""batch_size"": 50, ""act"": ""relu"", ""lrate_decay"": 0.67, ""seed"": 1, ""lr"": 0.002, ""num_epochs"": 200, ""zestbn"": ""bugfix"", ""encoder_layers"": [5, 4, 3, 2], ""top_c"": true, ""decoder_spec"": ""gauss""}",5.0,
1.0,1.0,1.0,1.0,1.0,"{""binary"": true, ""x_features"": [""Color"", ""Ca125"", ""APapDimension"", ""AgeAfterMenopause"", ""PapBloodFlow""], ""denoising_cost_x"": [0.0001, 0.001, 0.001, 1], ""f_local_noise_std"": 0.1, ""super_noise_std"": 0.2, ""batch_size"": 50, ""act"": ""relu"", ""lrate_decay"": 0.67, ""seed"": 1, ""lr"": 0.002, ""num_epochs"": 200, ""zestbn"": ""bugfix"", ""encoder_layers"": [5, 4, 3, 2], ""top_c"": true, ""decoder_spec"": ""gauss""}",0.0,
0.875,1.0,0.8,1.0,0.75,"{""binary"": true, ""x_features"": [""Color"", ""Ca125"", ""APapDimension"", ""AgeAfterMenopause"", ""PapBloodFlow""], ""denoising_cost_x"": [0.0001, 0.001, 0.001, 1], ""f_local_noise_std"": 0.1, ""super_noise_std"": 0.2, ""batch_size"": 50, ""act"": ""relu"", ""lrate_decay"": 0.67, ""seed"": 1, ""lr"": 0.002, ""num_epochs"": 200, ""zestbn"": ""bugfix"", ""encoder_layers"": [5, 4, 3, 2], ""top_c"": true, ""decoder_spec"": ""gauss""}",5.0,
0.75,0.75,0.75,0.75,0.75,"{""binary"": true, ""x_features"": [""Color"", ""Ca125"", ""APapDimension"", ""AgeAfterMenopause"", ""PapBloodFlow""], ""denoising_cost_x"": [0.0001, 0.001, 0.001, 1], ""f_local_noise_std"": 0.1, ""super_noise_std"": 0.2, ""batch_size"": 50, ""act"": ""relu"", ""lrate_decay"": 0.67, ""seed"": 1, ""lr"": 0.002, ""num_epochs"": 200, ""zestbn"": ""bugfix"", ""encoder_layers"": [5, 4, 3, 2], ""top_c"": true, ""decoder_spec"": ""gauss""}",15.0,
0.875,1.0,0.8,1.0,0.75,"{""binary"": true, ""x_features"": [""Color"", ""Ca125"", ""APapDimension"", ""AgeAfterMenopause"", ""PapBloodFlow""], ""denoising_cost_x"": [0.0001, 0.001, 0.001, 1], ""f_local_noise_std"": 0.1, ""super_noise_std"": 0.2, ""batch_size"": 50, ""act"": ""relu"", ""lrate_decay"": 0.67, ""seed"": 1, ""lr"": 0.002, ""num_epochs"": 200, ""zestbn"": ""bugfix"", ""encoder_layers"": [5, 4, 3, 2], ""top_c"": true, ""decoder_spec"": ""gauss""}",5.0,
0.9375,1.0,0.888888888889,1.0,0.875,"{""binary"": true, ""x_features"": [""Color"", ""Ca125"", ""APapDimension"", ""AgeAfterMenopause"", ""PapBloodFlow""], ""denoising_cost_x"": [0.0001, 0.001, 0.001, 1], ""f_local_noise_std"": 0.1, ""super_noise_std"": 0.2, ""batch_size"": 50, ""act"": ""relu"", ""lrate_decay"": 0.67, ""seed"": 1, ""lr"": 0.002, ""num_epochs"": 200, ""zestbn"": ""bugfix"", ""encoder_layers"": [5, 4, 3, 2], ""top_c"": true, ""decoder_spec"": ""gauss""}",2.5,
0.8125,0.777777777778,0.857142857143,0.75,0.875,"{""binary"": true, ""x_features"": [""Color"", ""Ca125"", ""APapDimension"", ""AgeAfterMenopause"", ""PapBloodFlow""], ""denoising_cost_x"": [0.0001, 0.001, 0.001, 1], ""f_local_noise_std"": 0.1, ""super_noise_std"": 0.2, ""batch_size"": 50, ""act"": ""relu"", ""lrate_decay"": 0.67, ""seed"": 1, ""lr"": 0.002, ""num_epochs"": 200, ""zestbn"": ""bugfix"", ""encoder_layers"": [5, 4, 3, 2], ""top_c"": true, ""decoder_spec"": ""gauss""}",12.5,
1.0,1.0,1.0,1.0,1.0,"{""binary"": true, ""x_features"": [""Color"", ""Ca125"", ""APapDimension"", ""AgeAfterMenopause"", ""PapBloodFlow""], ""denoising_cost_x"": [0.0001, 0.001, 0.001, 1], ""f_local_noise_std"": 0.1, ""super_noise_std"": 0.2, ""batch_size"": 50, ""act"": ""relu"", ""lrate_decay"": 0.67, ""seed"": 1, ""lr"": 0.002, ""num_epochs"": 200, ""zestbn"": ""bugfix"", ""encoder_layers"": [5, 4, 3, 2], ""top_c"": true, ""decoder_spec"": ""gauss""}",0.0,
0.888888888889,0.818181818182,1.0,0.777777777778,1.0,"{""binary"": true, ""x_features"": [""Color"", ""Ca125"", ""APapDimension"", ""AgeAfterMenopause"", ""PapBloodFlow""], ""denoising_cost_x"": [0.0001, 0.001, 0.001, 1], ""f_local_noise_std"": 0.2, ""super_noise_std"": 0.1, ""batch_size"": 50, ""act"": ""relu"", ""lrate_decay"": 0.67, ""seed"": 1, ""lr"": 0.002, ""num_epochs"": 300, ""zestbn"": ""bugfix"", ""encoder_layers"": [5, 4, 3, 2], ""top_c"": true, ""decoder_spec"": ""gauss""}",10.0,
1.0,1.0,1.0,1.0,1.0,"{""binary"": true, ""x_features"": [""Color"", ""Ca125"", ""APapDimension"", ""AgeAfterMenopause"", ""PapBloodFlow""], ""denoising_cost_x"": [0.0001, 0.001, 0.001, 1], ""f_local_noise_std"": 0.2, ""super_noise_std"": 0.1, ""batch_size"": 50, ""act"": ""relu"", ""lrate_decay"": 0.67, ""seed"": 1, ""lr"": 0.002, ""num_epochs"": 300, ""zestbn"": ""bugfix"", ""encoder_layers"": [5, 4, 3, 2], ""top_c"": true, ""decoder_spec"": ""gauss""}",0.0,
0.9375,0.888888888889,1.0,0.875,1.0,"{""binary"": true, ""x_features"": [""Color"", ""Ca125"", ""APapDimension"", ""AgeAfterMenopause"", ""PapBloodFlow""], ""denoising_cost_x"": [0.0001, 0.001, 0.001, 1], ""f_local_noise_std"": 0.2, ""super_noise_std"": 0.1, ""batch_size"": 50, ""act"": ""relu"", ""lrate_decay"": 0.67, ""seed"": 1, ""lr"": 0.002, ""num_epochs"": 300, ""zestbn"": ""bugfix"", ""encoder_layers"": [5, 4, 3, 2], ""top_c"": true, ""decoder_spec"": ""gauss""}",5.0,
1.0,1.0,1.0,1.0,1.0,"{""binary"": true, ""x_features"": [""Color"", ""Ca125"", ""APapDimension"", ""AgeAfterMenopause"", ""PapBloodFlow""], ""denoising_cost_x"": [0.0001, 0.001, 0.001, 1], ""f_local_noise_std"": 0.2, ""super_noise_std"": 0.1, ""batch_size"": 50, ""act"": ""relu"", ""lrate_decay"": 0.67, ""seed"": 1, ""lr"": 0.002, ""num_epochs"": 300, ""zestbn"": ""bugfix"", ""encoder_layers"": [5, 4, 3, 2], ""top_c"": true, ""decoder_spec"": ""gauss""}",0.0,
0.8125,0.857142857143,0.777777777778,0.875,0.75,"{""binary"": true, ""x_features"": [""Color"", ""Ca125"", ""APapDimension"", ""AgeAfterMenopause"", ""PapBloodFlow""], ""denoising_cost_x"": [0.0001, 0.001, 0.001, 1], ""f_local_noise_std"": 0.2, ""super_noise_std"": 0.1, ""batch_size"": 50, ""act"": ""relu"", ""lrate_decay"": 0.67, ""seed"": 1, ""lr"": 0.002, ""num_epochs"": 300, ""zestbn"": ""bugfix"", ""encoder_layers"": [5, 4, 3, 2], ""top_c"": true, ""decoder_spec"": ""gauss""}",10.0,
0.75,0.75,0.75,0.75,0.75,"{""binary"": true, ""x_features"": [""Color"", ""Ca125"", ""APapDimension"", ""AgeAfterMenopause"", ""PapBloodFlow""], ""denoising_cost_x"": [0.0001, 0.001, 0.001, 1], ""f_local_noise_std"": 0.2, ""super_noise_std"": 0.1, ""batch_size"": 50, ""act"": ""relu"", ""lrate_decay"": 0.67, ""seed"": 1, ""lr"": 0.002, ""num_epochs"": 300, ""zestbn"": ""bugfix"", ""encoder_layers"": [5, 4, 3, 2], ""top_c"": true, ""decoder_spec"": ""gauss""}",15.0,
0.9375,1.0,0.888888888889,1.0,0.875,"{""binary"": true, ""x_features"": [""Color"", ""Ca125"", ""APapDimension"", ""AgeAfterMenopause"", ""PapBloodFlow""], ""denoising_cost_x"": [0.0001, 0.001, 0.001, 1], ""f_local_noise_std"": 0.2, ""super_noise_std"": 0.1, ""batch_size"": 50, ""act"": ""relu"", ""lrate_decay"": 0.67, ""seed"": 1, ""lr"": 0.002, ""num_epochs"": 300, ""zestbn"": ""bugfix"", ""encoder_layers"": [5, 4, 3, 2], ""top_c"": true, ""decoder_spec"": ""gauss""}",2.5,
0.9375,1.0,0.888888888889,1.0,0.875,"{""binary"": true, ""x_features"": [""Color"", ""Ca125"", ""APapDimension"", ""AgeAfterMenopause"", ""PapBloodFlow""], ""denoising_cost_x"": [0.0001, 0.001, 0.001, 1], ""f_local_noise_std"": 0.2, ""super_noise_std"": 0.1, ""batch_size"": 50, ""act"": ""relu"", ""lrate_decay"": 0.67, ""seed"": 1, ""lr"": 0.002, ""num_epochs"": 300, ""zestbn"": ""bugfix"", ""encoder_layers"": [5, 4, 3, 2], ""top_c"": true, ""decoder_spec"": ""gauss""}",2.5,
0.8125,0.777777777778,0.857142857143,0.75,0.875,"{""binary"": true, ""x_features"": [""Color"", ""Ca125"", ""APapDimension"", ""AgeAfterMenopause"", ""PapBloodFlow""], ""denoising_cost_x"": [0.0001, 0.001, 0.001, 1], ""f_local_noise_std"": 0.2, ""super_noise_std"": 0.1, ""batch_size"": 50, ""act"": ""relu"", ""lrate_decay"": 0.67, ""seed"": 1, ""lr"": 0.002, ""num_epochs"": 300, ""zestbn"": ""bugfix"", ""encoder_layers"": [5, 4, 3, 2], ""top_c"": true, ""decoder_spec"": ""gauss""}",12.5,
1.0,1.0,1.0,1.0,1.0,"{""binary"": true, ""x_features"": [""Color"", ""Ca125"", ""APapDimension"", ""AgeAfterMenopause"", ""PapBloodFlow""], ""denoising_cost_x"": [0.0001, 0.001, 0.001, 1], ""f_local_noise_std"": 0.2, ""super_noise_std"": 0.1, ""batch_size"": 50, ""act"": ""relu"", ""lrate_decay"": 0.67, ""seed"": 1, ""lr"": 0.002, ""num_epochs"": 300, ""zestbn"": ""bugfix"", ""encoder_layers"": [5, 4, 3, 2], ""top_c"": true, ""decoder_spec"": ""gauss""}",0.0,
0.888888888889,0.818181818182,1.0,0.777777777778,1.0,"{""binary"": true, ""x_features"": [""Color"", ""Ca125"", ""APapDimension"", ""AgeAfterMenopause"", ""PapBloodFlow""], ""denoising_cost_x"": [0.0001, 0.001, 0.001, 1], ""f_local_noise_std"": 0.2, ""super_noise_std"": 0.2, ""batch_size"": 50, ""act"": ""relu"", ""lrate_decay"": 0.67, ""seed"": 1, ""lr"": 0.002, ""num_epochs"": 300, ""zestbn"": ""bugfix"", ""encoder_layers"": [5, 4, 3, 2], ""top_c"": true, ""decoder_spec"": ""gauss""}",10.0,
1.0,1.0,1.0,1.0,1.0,"{""binary"": true, ""x_features"": [""Color"", ""Ca125"", ""APapDimension"", ""AgeAfterMenopause"", ""PapBloodFlow""], ""denoising_cost_x"": [0.0001, 0.001, 0.001, 1], ""f_local_noise_std"": 0.2, ""super_noise_std"": 0.2, ""batch_size"": 50, ""act"": ""relu"", ""lrate_decay"": 0.67, ""seed"": 1, ""lr"": 0.002, ""num_epochs"": 300, ""zestbn"": ""bugfix"", ""encoder_layers"": [5, 4, 3, 2], ""top_c"": true, ""decoder_spec"": ""gauss""}",0.0,
0.9375,0.888888888889,1.0,0.875,1.0,"{""binary"": true, ""x_features"": [""Color"", ""Ca125"", ""APapDimension"", ""AgeAfterMenopause"", ""PapBloodFlow""], ""denoising_cost_x"": [0.0001, 0.001, 0.001, 1], ""f_local_noise_std"": 0.2, ""super_noise_std"": 0.2, ""batch_size"": 50, ""act"": ""relu"", ""lrate_decay"": 0.67, ""seed"": 1, ""lr"": 0.002, ""num_epochs"": 300, ""zestbn"": ""bugfix"", ""encoder_layers"": [5, 4, 3, 2], ""top_c"": true, ""decoder_spec"": ""gauss""}",5.0,
1.0,1.0,1.0,1.0,1.0,"{""binary"": true, ""x_features"": [""Color"", ""Ca125"", ""APapDimension"", ""AgeAfterMenopause"", ""PapBloodFlow""], ""denoising_cost_x"": [0.0001, 0.001, 0.001, 1], ""f_local_noise_std"": 0.2, ""super_noise_std"": 0.2, ""batch_size"": 50, ""act"": ""relu"", ""lrate_decay"": 0.67, ""seed"": 1, ""lr"": 0.002, ""num_epochs"": 300, ""zestbn"": ""bugfix"", ""encoder_layers"": [5, 4, 3, 2], ""top_c"": true, ""decoder_spec"": ""gauss""}",0.0,
0.8125,0.857142857143,0.777777777778,0.875,0.75,"{""binary"": true, ""x_features"": [""Color"", ""Ca125"", ""APapDimension"", ""AgeAfterMenopause"", ""PapBloodFlow""], ""denoising_cost_x"": [0.0001, 0.001, 0.001, 1], ""f_local_noise_std"": 0.2, ""super_noise_std"": 0.2, ""batch_size"": 50, ""act"": ""relu"", ""lrate_decay"": 0.67, ""seed"": 1, ""lr"": 0.002, ""num_epochs"": 300, ""zestbn"": ""bugfix"", ""encoder_layers"": [5, 4, 3, 2], ""top_c"": true, ""decoder_spec"": ""gauss""}",10.0,
0.75,0.75,0.75,0.75,0.75,"{""binary"": true, ""x_features"": [""Color"", ""Ca125"", ""APapDimension"", ""AgeAfterMenopause"", ""PapBloodFlow""], ""denoising_cost_x"": [0.0001, 0.001, 0.001, 1], ""f_local_noise_std"": 0.2, ""super_noise_std"": 0.2, ""batch_size"": 50, ""act"": ""relu"", ""lrate_decay"": 0.67, ""seed"": 1, ""lr"": 0.002, ""num_epochs"": 300, ""zestbn"": ""bugfix"", ""encoder_layers"": [5, 4, 3, 2], ""top_c"": true, ""decoder_spec"": ""gauss""}",15.0,
0.9375,1.0,0.888888888889,1.0,0.875,"{""binary"": true, ""x_features"": [""Color"", ""Ca125"", ""APapDimension"", ""AgeAfterMenopause"", ""PapBloodFlow""], ""denoising_cost_x"": [0.0001, 0.001, 0.001, 1], ""f_local_noise_std"": 0.2, ""super_noise_std"": 0.2, ""batch_size"": 50, ""act"": ""relu"", ""lrate_decay"": 0.67, ""seed"": 1, ""lr"": 0.002, ""num_epochs"": 300, ""zestbn"": ""bugfix"", ""encoder_layers"": [5, 4, 3, 2], ""top_c"": true, ""decoder_spec"": ""gauss""}",2.5,
0.9375,1.0,0.888888888889,1.0,0.875,"{""binary"": true, ""x_features"": [""Color"", ""Ca125"", ""APapDimension"", ""AgeAfterMenopause"", ""PapBloodFlow""], ""denoising_cost_x"": [0.0001, 0.001, 0.001, 1], ""f_local_noise_std"": 0.2, ""super_noise_std"": 0.2, ""batch_size"": 50, ""act"": ""relu"", ""lrate_decay"": 0.67, ""seed"": 1, ""lr"": 0.002, ""num_epochs"": 300, ""zestbn"": ""bugfix"", ""encoder_layers"": [5, 4, 3, 2], ""top_c"": true, ""decoder_spec"": ""gauss""}",2.5,
0.8125,0.777777777778,0.857142857143,0.75,0.875,"{""binary"": true, ""x_features"": [""Color"", ""Ca125"", ""APapDimension"", ""AgeAfterMenopause"", ""PapBloodFlow""], ""denoising_cost_x"": [0.0001, 0.001, 0.001, 1], ""f_local_noise_std"": 0.2, ""super_noise_std"": 0.2, ""batch_size"": 50, ""act"": ""relu"", ""lrate_decay"": 0.67, ""seed"": 1, ""lr"": 0.002, ""num_epochs"": 300, ""zestbn"": ""bugfix"", ""encoder_layers"": [5, 4, 3, 2], ""top_c"": true, ""decoder_spec"": ""gauss""}",12.5,
1.0,1.0,1.0,1.0,1.0,"{""binary"": true, ""x_features"": [""Color"", ""Ca125"", ""APapDimension"", ""AgeAfterMenopause"", ""PapBloodFlow""], ""denoising_cost_x"": [0.0001, 0.001, 0.001, 1], ""f_local_noise_std"": 0.2, ""super_noise_std"": 0.2, ""batch_size"": 50, ""act"": ""relu"", ""lrate_decay"": 0.67, ""seed"": 1, ""lr"": 0.002, ""num_epochs"": 300, ""zestbn"": ""bugfix"", ""encoder_layers"": [5, 4, 3, 2], ""top_c"": true, ""decoder_spec"": ""gauss""}",0.0,
0.722222222222,0.642857142857,1.0,0.444444444444,1.0,"{""binary"": true, ""x_features"": [""Color"", ""Ca125"", ""APapDimension"", ""AgeAfterMenopause"", ""PapBloodFlow""], ""denoising_cost_x"": [0.0001, 0.001, 0.001, 1], ""f_local_noise_std"": 0.2, ""super_noise_std"": 0.1, ""batch_size"": 50, ""act"": ""relu"", ""lrate_decay"": 0.67, ""seed"": 1, ""lr"": 0.002, ""num_epochs"": 200, ""zestbn"": ""bugfix"", ""encoder_layers"": [5, 4, 3, 2], ""top_c"": true, ""decoder_spec"": ""gauss""}",25.0,
0.941176470588,0.9,1.0,0.875,1.0,"{""binary"": true, ""x_features"": [""Color"", ""Ca125"", ""APapDimension"", ""AgeAfterMenopause"", ""PapBloodFlow""], ""denoising_cost_x"": [0.0001, 0.001, 0.001, 1], ""f_local_noise_std"": 0.2, ""super_noise_std"": 0.1, ""batch_size"": 50, ""act"": ""relu"", ""lrate_decay"": 0.67, ""seed"": 1, ""lr"": 0.002, ""num_epochs"": 200, ""zestbn"": ""bugfix"", ""encoder_layers"": [5, 4, 3, 2], ""top_c"": true, ""decoder_spec"": ""gauss""}",5.0,
0.875,0.875,0.875,0.875,0.875,"{""binary"": true, ""x_features"": [""Color"", ""Ca125"", ""APapDimension"", ""AgeAfterMenopause"", ""PapBloodFlow""], ""denoising_cost_x"": [0.0001, 0.001, 0.001, 1], ""f_local_noise_std"": 0.2, ""super_noise_std"": 0.1, ""batch_size"": 50, ""act"": ""relu"", ""lrate_decay"": 0.67, ""seed"": 1, ""lr"": 0.002, ""num_epochs"": 200, ""zestbn"": ""bugfix"", ""encoder_layers"": [5, 4, 3, 2], ""top_c"": true, ""decoder_spec"": ""gauss""}",7.5,
